country,year_nurses_midwives,nurses_midwives
Pre-demographic dividend,2015,0.861185984283354
Pacific island small states,2015,2.66635533053838
Post-demographic dividend,2015,9.16284734895501
Rwanda,2015,0.8307
South Asia,2015,1.73723895864831
Sudan,2015,0.83
Sub-Saharan Africa (excluding high income),2015,1.02838343990045
Western Sahara,2015,1.02859599016712
Small states,2015,2.95703660470946
Sao Tome and Principe,2015,2.26
Eswatini,2015,2
East Asia & Pacific (IDA & IBRD countries),2015,2.12482119727019
Europe & Central Asia (IDA & IBRD countries),2015,6.92166641165145
Togo,2015,0.298
Latin America & the Caribbean (IDA & IBRD countries),2015,4.66236914905085
Middle East & North Africa (IDA & IBRD countries),2015,1.75260367546105
South Asia (IDA & IBRD),2015,1.73723895864831
Sub-Saharan Africa (IDA & IBRD countries),2015,1.02859599016712
Trinidad and Tobago,2015,3.5093
Turkey,2015,2.6304
Uganda,2015,0.6303
Upper middle income,2015,3.47654197626777
United States,2015,8.55
World,2015,3.42342029791407
Albania,2016,3.5998
United Arab Emirates,2016,5.5857
Australia,2016,12.6612
Austria,2016,8.1778
Burundi,2016,0.68
Belgium,2016,11.1011
Benin,2016,0.6145
Burkina Faso,2016,0.5696
Bolivia,2016,0.7357
Botswana,2016,3.3004
Canada,2016,9.9056
Switzerland,2016,17.2828
Chile,2016,0.86
Cyprus,2016,5.2517
Czechia,2016,8.4071
Germany,2016,13.1967
Denmark,2016,10.3004
Algeria,2016,2.24
Ecuador,2016,1.2
Spain,2016,5.5307
Estonia,2016,6.4526
Finland,2016,14.723
France,2016,9.6887
Gabon,2016,2.5806
Guinea,2016,0.3844
Greece,2016,3.3728
Croatia,2016,8.1134
Hungary,2016,6.6425
Ireland,2016,14.2949
Israel,2016,5.2044
Japan,2016,11.5184
Kiribati,2016,4.8287
Sri Lanka,2016,2.1155
Lithuania,2016,7.9155
Latvia,2016,4.8155
Maldives,2016,3.9504
Mexico,2016,2.9
Mali,2016,0.382
Mongolia,2016,3.9846
Malawi,2016,0.2528
Netherlands,2016,11.1043
Panama,2016,1.41
Peru,2016,1.35
Poland,2016,5.7221
Portugal,2016,6.3725
Qatar,2016,6.6028
Romania,2016,6.0979
Russia,2016,8.6212
Saudi Arabia,2016,5.7
Senegal,2016,0.3129
Singapore,2016,7.2141
Solomon Islands,2016,2.1307
El Salvador,2016,2.278
Serbia,2016,6.1203
Slovakia,2016,9.1727
Slovenia,2016,9.68
Sweden,2016,11.5434
Seychelles,2016,3.2613
Syria,2016,1.46
Chad,2016,0.3637
Tonga,2016,3.932
Tunisia,2016,2.6351
Vietnam,2016,1.4321
Vanuatu,2016,1.3853
Zambia,2016,0.8925
Argentina,2017,2.58
Antigua and Barbuda,2017,3.1176
Bangladesh,2017,0.3067
Bahamas,2017,3.1386
Belize,2017,1.6947
Barbados,2017,6.0273
Bhutan,2017,1.5094
Colombia,2017,1.2627
Cuba,2017,7.79
Dominica,2017,5.8999
Dominican Republic,2017,0.3099
Egypt,2017,1.3989
Ethiopia,2017,0.84
United Kingdom,2017,8.2878
Ghana,2017,1.2
Equatorial Guinea,2017,0.5
Grenada,2017,3.1447
Honduras,2017,0.8815
Indonesia,2017,2.0583
India,2017,2.1071
Iraq,2017,1.6799
Iceland,2017,15.6806
Italy,2017,5.8693
Jamaica,2017,1.1397
Jordan,2017,3.3886
"Korea, Rep.",2017,6.9735
Lebanon,2017,2.6448
Libya,2017,6.7416
Luxembourg,2017,12.3496
Morocco,2017,1.0979
Myanmar,2017,0.9794
Mozambique,2017,0.4436
Mauritania,2017,1.0341
Norway,2017,18.1247
Nepal,2017,2.6854
New Zealand,2017,10.955
Oman,2017,4.3004
South Korea,2017,4.4382
Suriname,2017,4.0983
Thailand,2017,2.9647
Timor-Leste,2017,1.6701
Uruguay,2017,1.9299
South Africa,2017,3.5171
Brazil,2018,9.7083
Guatemala,2018,0.947
Guyana,2018,1.3398
Haiti,2018,0.6804
Nicaragua,2018,1.5775
Paraguay,2018,1.1669
